id	sites	section	clause	rows	anchoring	in	last	site_last
C-062	155-156	§ 3 Cut valuable vertical slices	Shared create/edit review or multiple inputs to one established media pipeline may remain cohesive		—	c001780	c001780	c001780
C-063	156-156	§ 3 Cut valuable vertical slices	Defer independently optional interactions to `LATER`		—	c001780	c001780	c001780
C-064	158-158	§ 3 Cut valuable vertical slices	After the first cut, audit adjacent slices in both directions and record the verdict for each pair		—	745192f	d977043	d977043
C-065	158-159	§ 3 Cut valuable vertical slices	Merge slices that duplicate the same interaction and invariant without changing a decision		—	745192f	745192f	d977043
C-066	159-160	§ 3 Cut valuable vertical slices	Split independently testable fallbacks, external adapters, lifecycle operations, or failure profiles		—	745192f	745192f	745192f
C-067	161-162	§ 3 Cut valuable vertical slices	Split whenever either part can be deferred independently, or when one slice can fail for two decision-changing causes		—	d977043	d977043	d977043
C-068	163-164	§ 3 Cut valuable vertical slices	Deliver a required correction, retry, or escape path before or with the first behaviour that can create the recoverable state		—	745192f	745192f	745192f
C-069	166-167	§ 3 Cut valuable vertical slices	Different failure profiles do not justify non-adjacent partial ownership of one adapter or invariant		—	9aa2586	9aa2586	9aa2586
C-070	167-168	§ 3 Cut valuable vertical slices	Co-locate the behaviour, or make the first slice establish a complete stable capability later slices consume		—	9aa2586	9aa2586	9aa2586
C-071	168-169	§ 3 Cut valuable vertical slices	Never interleave another theme while shared adapter or invariant ownership remains partial		—	9aa2586	9aa2586	9aa2586
C-072	173-173	§ 3 Cut valuable vertical slices	Allow an explicit `Enabler` slice only when its primary user is a developer		—	c001780	c001780	c001780
C-073	175-175	§ 3 Cut valuable vertical slices	Enabler test: exercises a real end-to-end production path, not one isolated layer		—	c001780	c001780	c001780
C-074	176-176	§ 3 Cut valuable vertical slices	Enabler test: produces executable evidence needed by the next product slice		—	c001780	c001780	c001780
C-075	177-177	§ 3 Cut valuable vertical slices	Enabler test: resolves one material uncertainty or establishes one high-leverage delivery pattern	R-007	reconstructed	c001780	c001780	c001780
C-076	178-178	§ 3 Cut valuable vertical slices	Enabler test: immediately followed by, or explicitly tied to, the product outcome it enables		—	c001780	c001780	c001780
C-077	179-179	§ 3 Cut valuable vertical slices	Enabler test: contains no speculative foundation beyond that path		—	c001780	c001780	c001780
C-078	184-185	§ 3 Cut valuable vertical slices	An enabler may include the smallest diagnostic consumer needed to observe its uncertainty		—	745192f	745192f	745192f
C-079	185-186	§ 3 Cut valuable vertical slices	Keep product interaction and business feedback in the successor; the successor adds a user outcome		—	745192f	745192f	745192f
C-080	187-188	§ 3 Cut valuable vertical slices	Do not add a domain dependency to the walking skeleton only because the next slice will need it		—	745192f	d88328f	d88328f
C-081	190-192	§ 3 Cut valuable vertical slices	Allow a separate domain-convention enabler only when it independently validates conventions before a riskier slice		—	9aa2586	9aa2586	9aa2586
C-082	191-192	§ 3 Cut valuable vertical slices	Reuse by later work or presence in an example plan is insufficient		—	9aa2586	9aa2586	9aa2586
C-083	196-197	§ 3 Cut valuable vertical slices	Keep early slices narrow while conventions need frequent human review		—	c001780	c001780	c001780
C-084	198-198	§ 3 Cut valuable vertical slices	Increase size only after relevant patterns exist and the combined work remains cohesive		—	c001780	c001780	c001780
C-085	199-199	§ 3 Cut valuable vertical slices	Never make later slices larger merely because they occur later		—	c001780	c001780	c001780
C-086	201-202	§ 3 Cut valuable vertical slices	Include behaviour-specific validation, authorization, failure handling, logging, observability, accessibility, security, and data integrity where required		—	c001780	745192f	745192f
C-087	202-204	§ 3 Cut valuable vertical slices	State repeated expectations once under `Cross-functional concerns`, but verify them in the first slice that crosses each trust boundary or performs each external side effect		—	c001780	745192f	745192f
C-088	204-205	§ 3 Cut valuable vertical slices	Name relevant abuse, timeout, invalid-output, and partial-failure modes; a generic statement is not evidence		—	745192f	745192f	745192f
C-089	205-206	§ 3 Cut valuable vertical slices	Do not defer production-required failures to generic hardening		—	c001780	c001780	745192f
C-090	208-209	§ 3 Cut valuable vertical slices	Every material claim under `Learning / risk` must map to an observation in `Verification`		—	745192f	745192f	745192f
C-091	208-209	§ 3 Cut valuable vertical slices	Checking that data exists does not demonstrate its quality, usability, latency, or cost		—	745192f	745192f	745192f
C-092	211-212	§ 3 Cut valuable vertical slices	Classify risk spikes, migrations, and operational work separately when they cannot produce a valuable vertical result		—	c001780	e0049d9	e0049d9
C-093	214-214	§ 3 Cut valuable vertical slices	Gate: every slice has one outcome and learning target		—	c001780	c001780	c001780
C-094	214-215	§ 3 Cut valuable vertical slices	Gate: every enabler passes all enabler tests and validates no more than one material uncertainty	R-007	reconstructed	c001780	d977043	d977043
C-095	215-216	§ 3 Cut valuable vertical slices	Gate: every split warning is resolved by splitting or a concrete cohesion reason		—	c001780	c001780	d977043
C-096	216-217	§ 3 Cut valuable vertical slices	Gate: every in-scope behaviour, and every producer feeding a shared pipeline or adapter, has one owner or explicit exclusion	R-006	reconstructed	c001780	d977043	d977043
C-097	221-221	ANTI-PATTERNS	Layer slices		—	c001780	c001780	c001780
C-098	222-223	ANTI-PATTERNS	Infrastructure by accumulation		—	c001780	c001780	c001780
C-099	224-225	ANTI-PATTERNS	Enabler camouflage		—	c001780	c001780	c001780
C-100	226-227	ANTI-PATTERNS	Oversized walking skeleton		—	c001780	c001780	c001780
C-101	228-230	ANTI-PATTERNS	Hollow walking skeleton		—	d88328f	d88328f	d88328f
C-102	231-232	ANTI-PATTERNS	Fake verticality		—	c001780	c001780	c001780
C-103	233-234	ANTI-PATTERNS	Premature or split shared pipeline	R-006,R-016	reconstructed	d977043	d977043	d977043
C-104	235-235	ANTI-PATTERNS	Theme compression		—	c001780	c001780	c001780
C-105	236-236	ANTI-PATTERNS	Atomization		—	c001780	c001780	c001780
C-106	237-238	ANTI-PATTERNS	Silent contradiction	R-010	**declared**	745192f	d977043	d977043
C-107	239-242	ANTI-PATTERNS	Deferred safety, with the declared-seam exemption		—	c001780	2c89e7f	2c89e7f
C-108	243-244	ANTI-PATTERNS	Horizon dumping		—	c001780	c001780	c001780
C-109	248-248	§ 4 Assign horizons and order for learning	Assign every behaviour to exactly one horizon		—	c001780	c001780	c001780
C-110	250-251	§ 4 Assign horizons and order for learning	`NOW` is the smallest coherent release including the value hypothesis, material risk validation, and safe-operation baseline		—	c001780	c001780	c001780
C-111	252-253	§ 4 Assign horizons and order for learning	`LATER` depends on `NOW` evidence; record its promotion trigger	R-013	reconstructed	c001780	c001780	c001780
C-112	254-254	§ 4 Assign horizons and order for learning	`OUT-OF-SCOPE` records its rationale; do not plan implementation	R-014	reconstructed	c001780	c001780	c001780
C-113	256-257	§ 4 Assign horizons and order for learning	Admission test: `NOW` requires a source that asks for the behaviour, `LATER` a trigger, `OUT-OF-SCOPE` a declared exclusion	R-004	reconstructed	d977043	d977043	d977043
C-114	257-258	§ 4 Assign horizons and order for learning	Trace each `NOW` slice to the requesting statement in reasoning, not in the published plan		—	d977043	d977043	d977043
C-115	258-259	§ 4 Assign horizons and order for learning	A capability merely compatible or convenient was never requested: it belongs in `LATER` with its trigger	R-004	reconstructed	d977043	d977043	d977043
C-116	261-268	§ 4 Assign horizons and order for learning	Respect hard dependencies, then order `NOW` by the six listed factors		—	c001780	c001780	c001780
C-117	270-270	§ 4 Assign horizons and order for learning	Use the cheapest real input capable of validating a risky engine		—	c001780	c001780	c001780
C-118	270-271	§ 4 Assign horizons and order for learning	Do not front-load commodity work for reuse alone		—	c001780	c001780	c001780
C-119	273-274	§ 4 Assign horizons and order for learning	Controlled cheap inputs may validate shared machinery in an enabler, but do not reorder independently useful product flows		—	9aa2586	9aa2586	9aa2586
C-120	274-275	§ 4 Assign horizons and order for learning	When sources define a recovery chain, extend the primary interaction with automatic recovery before a separate manual escape		—	9aa2586	9aa2586	9aa2586
C-121	277-278	§ 4 Assign horizons and order for learning	After validating existential risks, prefer breadth before depth		—	745192f	745192f	745192f
C-122	278-280	§ 4 Assign horizons and order for learning	Depart from breadth only for a differentiator, material risk, required recovery, or higher frequency, stated once under `Ordering criteria`		—	745192f	745192f	745192f
C-123	282-284	§ 4 Assign horizons and order for learning	Required recovery outranks breadth: deliver the remedy of a named failure mode before opening a different theme	R-005	reconstructed	d977043	d977043	d977043
C-124	283-284	§ 4 Assign horizons and order for learning	A remedy the sources declare a fallback of a delivered path closes that path and is not optional depth		—	d977043	d977043	d977043
C-125	284-286	§ 4 Assign horizons and order for learning	A slice that opens a pipeline or adapter shared by several paths follows every `NOW` slice that feeds it, and owns it alone	R-006,R-016	reconstructed	d977043	d977043	d977043
C-126	288-289	§ 4 Assign horizons and order for learning	Ship the tenancy, ownership, or scope boundary with the first slice that persists data; a single named resolver owns the current scope	R-012	reconstructed	2c89e7f	2c89e7f	2c89e7f
C-127	289-291	§ 4 Assign horizons and order for learning	A later slice may replace a configured scope with an authenticated one at one seam; state that seam under `Cross-functional concerns`	R-012	reconstructed	2c89e7f	2c89e7f	2c89e7f
C-128	291-292	§ 4 Assign horizons and order for learning	Never defer the boundary itself, and never defer identity when no such seam exists		—	2c89e7f	2c89e7f	2c89e7f
C-129	294-295	§ 4 Assign horizons and order for learning	Once the evidence that justified deferring identity exists, deliver identity before further user-facing slices		—	745192f	745192f	a06a5cc
C-130	295-297	§ 4 Assign horizons and order for learning	Past the second `NOW` slice delivering to an end user, justify the remaining deferral once under `Ordering criteria`	R-017	reconstructed	a06a5cc	a06a5cc	a06a5cc
C-131	297-299	§ 4 Assign horizons and order for learning	Every `NOW` slice preceding identity states its own audience	R-009	reconstructed	a06a5cc	a06a5cc	a06a5cc
C-132	301-302	§ 4 Assign horizons and order for learning	When `NOW` targets selected end users, end it with the smallest release slice usable in its intended environment		—	745192f	745192f	745192f
C-133	302-303	§ 4 Assign horizons and order for learning	Tag it `(Release: delivery)`, not `Enabler`, and include only source-backed operational readiness		—	745192f	745192f	745192f
C-134	303-304	§ 4 Assign horizons and order for learning	When `NOW` ends at developer validation, state that audience and environment explicitly		—	745192f	745192f	745192f
C-135	306-307	§ 4 Assign horizons and order for learning	When a real slice cannot resolve a material uncertainty, define a time-boxed spike with its five components		—	c001780	c001780	c001780
C-136	309-310	§ 4 Assign horizons and order for learning	Add checkpoints only where evidence can cancel, promote, reorder, split, or change unfinished work		—	c001780	c001780	c001780
C-137	312-312	§ 4 Assign horizons and order for learning	Gate: every differentiator and material risk has a first validator		—	c001780	c001780	c001780
C-138	312-313	§ 4 Assign horizons and order for learning	Gate: all horizon assignments are exclusive and pass the admission test	R-004	reconstructed	c001780	d977043	d977043
C-139	313-313	§ 4 Assign horizons and order for learning	Gate: every `LATER` item has a trigger	R-013	reconstructed	c001780	c001780	d977043
C-140	313-314	§ 4 Assign horizons and order for learning	Gate: every named failure mode whose remedy is in `NOW` gets it before a different theme starts	R-005	reconstructed	d977043	d977043	d977043
C-141	315-315	§ 4 Assign horizons and order for learning	Gate: every shared pipeline follows its producers	R-016	reconstructed	d977043	d977043	a06a5cc
C-142	315-316	§ 4 Assign horizons and order for learning	Gate: every slice preceding identity names an audience compatible with a configured scope	R-009	reconstructed	a06a5cc	a06a5cc	a06a5cc
C-143	316-316	§ 4 Assign horizons and order for learning	Gate: order respects dependencies and delivery maturity		—	c001780	c001780	a06a5cc
C-144	316-317	§ 4 Assign horizons and order for learning	Gate: checkpoints name evidence and the decisions they can change		—	c001780	c001780	a06a5cc
C-145	321-321	§ 5 Publish and audit	Before publication, complete an unpublished ledger		—	9aa2586	9aa2586	9aa2586
C-146	323-323	§ 5 Publish and audit	Ledger: every source behaviour to its theme, horizon, and owning slice or explicit exclusion	R-004,R-014	reconstructed	9aa2586	9aa2586	9aa2586
C-147	324-324	§ 5 Publish and audit	Ledger: every theme to its complete product outcome and first product validator	R-008	reconstructed	9aa2586	9aa2586	9aa2586
C-148	325-325	§ 5 Publish and audit	Ledger: every shared adapter and invariant to one complete owner	R-006	reconstructed	9aa2586	9aa2586	9aa2586
C-149	326-326	§ 5 Publish and audit	Ledger: every named failure to its recovery and required position	R-005	reconstructed	9aa2586	9aa2586	9aa2586
C-150	327-327	§ 5 Publish and audit	Ledger: every unresolved decision to blocked slices and its prior spike or open question	R-002,R-003	reconstructed	9aa2586	9aa2586	9aa2586
C-151	328-328	§ 5 Publish and audit	Ledger: every adjacent slice pair to its split/merge verdict		—	9aa2586	9aa2586	9aa2586
C-152	330-331	§ 5 Publish and audit	Reject the draft when a mapping is missing, conflicting, duplicated incompatibly, or partial		—	9aa2586	9aa2586	9aa2586
C-153	331-332	§ 5 Publish and audit	Keep the ledger in reasoning, not the published plan		—	9aa2586	9aa2586	9aa2586
C-154	334-335	§ 5 Publish and audit	Read and follow the template; preserve hierarchy, section names, field names, and order; write in the user's language		—	c001780	c001780	c001780
C-155	337-337	§ 5 Publish and audit	Use bullets or tables for technical sections; avoid prose blocks		—	c001780	fb1ec51	fb1ec51
C-156	338-338	§ 5 Publish and audit	Keep `Cross-functional concerns`, `NOW`, `LATER`, `OUT-OF-SCOPE` as exact labels		—	c001780	c001780	c001780
C-157	339-339	§ 5 Publish and audit	Set every `Themes.First validation` cell to the number of an existing `NOW` slice		—	6476f32	6476f32	6476f32
C-158	340-341	§ 5 Publish and audit	Detail numbered `NOW` slices only; tag them; keep `LATER` conditional and compact		—	c001780	745192f	745192f
C-159	342-342	§ 5 Publish and audit	Separate every numbered `NOW` slice title from its fields with a `---` rule		—	fb1ec51	fb1ec51	fb1ec51
C-160	343-344	§ 5 Publish and audit	Give every `NOW` slice bullet lists under `Includes`, `Verification`, `Outcome`, in that order		—	c001780	fb1ec51	fb1ec51
C-161	345-345	§ 5 Publish and audit	Add `Learning / risk` between `Verification` and `Outcome` only when material		—	c001780	fb1ec51	fb1ec51
C-162	346-347	§ 5 Publish and audit	Add other slice-specific annotations only as `**Label**` blocks after the standard fields		—	fb1ec51	fb1ec51	fb1ec51
C-163	348-349	§ 5 Publish and audit	Publish no dependency graph, no sequencing section, no per-slice ordering rationale		—	fb1ec51	fb1ec51	fb1ec51
C-164	350-351	§ 5 Publish and audit	Always publish all three horizon sections; use `- None identified.` when empty		—	c001780	c001780	c001780
C-165	352-352	§ 5 Publish and audit	Omit empty optional sections, including `Non-product work` and `Open questions`		—	c001780	c001780	c001780
C-166	354-355	§ 5 Publish and audit	Keep the document readable in one pass: at most five bullets per field, one line per bullet, no restating of `Cross-functional concerns`		—	fb1ec51	fb1ec51	fb1ec51
C-167	357-357	§ 5 Publish and audit	After publishing, run the validator		—	c001780	ed35cb7	fb1ec51
C-168	358-359	§ 5 Publish and audit	Publish first and let the validator find structural defects instead of reading its source		—	fb1ec51	745192f	745192f
C-169	359-361	§ 5 Publish and audit	Resolve `<skill-dir>` to the absolute path of the directory containing this `SKILL.md`		—	ed35cb7	ed35cb7	fb1ec51
C-170	367-367	§ 5 Publish and audit	Fix every structural failure		—	c001780	c001780	c001780
C-171	369-369	§ 5 Publish and audit	Complete when: the validator passes		—	c001780	c001780	c001780
C-172	369-369	§ 5 Publish and audit	Complete when: themes trace to first validators	R-008	reconstructed	c001780	c001780	c001780
C-173	369-370	§ 5 Publish and audit	Complete when: `NOW` is a coherent valuable release		—	c001780	e0049d9	e0049d9
C-174	370-370	§ 5 Publish and audit	Complete when: enablers are vertical and adjacent to their product outcome		—	c001780	c001780	e0049d9
C-175	370-371	§ 5 Publish and audit	Complete when: `LATER` is evidence-dependent	R-013	reconstructed	c001780	c001780	e0049d9
C-176	371-371	§ 5 Publish and audit	Complete when: the slice order respects every hard dependency		—	fb1ec51	fb1ec51	fb1ec51
C-177	371-372	§ 5 Publish and audit	Complete when: every source behaviour has one horizon	R-004	reconstructed	c001780	c001780	d977043
C-178	372-372	§ 5 Publish and audit	Complete when: no slice asserts a side of a listed conflict or undecided choice	R-010	**declared**	d977043	d977043	d977043
C-179	372-374	§ 5 Publish and audit	Complete when: every external dependency invoked in `NOW` has a selecting source or an `Open questions` entry, and every published question names the slices it blocks	R-003,R-002	reconstructed	d977043	d977043	d977043
C-180	374-374	§ 5 Publish and audit	Complete when: end-user `NOW` reaches its intended environment		—	745192f	745192f	d977043
C-181	374-375	§ 5 Publish and audit	Complete when: only implementation-changing questions remain		—	c001780	c001780	d977043
C-182	379-379	Review an existing plan	Apply every applicable criterion from steps 2–5		—	c001780	c001780	c001780
C-183	379-384	Review an existing plan	For each failure state target, failed criterion or anti-pattern, delivery consequence, concrete change		—	c001780	c001780	c001780
C-184	386-386	Review an existing plan	Keep passing verdicts internal		—	c001780	c001780	c001780
C-185	386-386	Review an existing plan	Modify the plan only when requested		—	c001780	c001780	c001780
C-186	388-388	Review an existing plan	Complete when: every applicable criterion has a pass, fail, or not-applicable verdict		—	c001780	c001780	c001780
C-187	388-390	Review an existing plan	Complete when: every differentiator, risk, horizon assignment, theme boundary, slice, and ordering constraint is traceable to a verdict		—	c001780	fb1ec51	fb1ec51
C-188	394-395	Split, merge, or reorder an existing plan	Reopen only the affected scope		—	28b5460	28b5460	28b5460
C-189	395-395	Split, merge, or reorder an existing plan	Leave the rest of the plan untouched		—	28b5460	28b5460	28b5460
C-190	395-396	Split, merge, or reorder an existing plan	An edit is not a rewrite; unrelated churn hides what actually moved		—	28b5460	28b5460	28b5460
C-191	398-399	Split, merge, or reorder an existing plan	Justify the edit against the test that owns it: split/merge tests, ordering rules, or a checkpoint whose evidence arrived		—	28b5460	28b5460	28b5460
C-192	399-400	Split, merge, or reorder an existing plan	Size, tidiness, and preference are not justifications		—	28b5460	28b5460	28b5460
C-193	400-400	Split, merge, or reorder an existing plan	When no test supports the requested edit, say so and stop		—	28b5460	28b5460	28b5460
C-194	402-404	Split, merge, or reorder an existing plan	Conserve the behaviour set: a split distributes and introduces none, a merge yields one outcome, a reorder changes positions only		—	28b5460	28b5460	28b5460
C-195	404-405	Split, merge, or reorder an existing plan	A behaviour that loses its owner moves to `LATER` with a trigger or `OUT-OF-SCOPE` with a rationale, never disappears		—	28b5460	28b5460	28b5460
C-196	407-407	Split, merge, or reorder an existing plan	Apply steps 3–4 to the affected scope, then republish through step 5, validator included		—	28b5460	28b5460	28b5460
C-197	407-410	Split, merge, or reorder an existing plan	Repair every reference the edit invalidates		—	28b5460	28b5460	28b5460
C-198	410-410	Split, merge, or reorder an existing plan	A checkpoint whose evidence triggered this edit records the decision it produced		—	28b5460	28b5460	28b5460
C-199	412-412	Split, merge, or reorder an existing plan	Complete when: every applicable step-5 criterion still holds		—	28b5460	28b5460	28b5460
C-200	412-413	Split, merge, or reorder an existing plan	Complete when: the edit traces to a split test, merge test, ordering rule, or checkpoint		—	28b5460	28b5460	28b5460
C-201	413-414	Split, merge, or reorder an existing plan	Complete when: each resulting slice has one outcome and one learning target and passes the independence tests		—	28b5460	28b5460	28b5460
C-202	414-415	Split, merge, or reorder an existing plan	Complete when: the behaviour set changed only through a recorded horizon move		—	28b5460	28b5460	28b5460
C-203	415-415	Split, merge, or reorder an existing plan	Complete when: every reference to a slice number resolves to the slice it meant		—	28b5460	28b5460	28b5460
C-204	415-416	Split, merge, or reorder an existing plan	Complete when: slices outside the affected scope are unchanged		—	28b5460	28b5460	28b5460
C-205	416-417	Split, merge, or reorder an existing plan	Complete when: any new departure from breadth before depth is stated once under `Ordering criteria`		—	28b5460	28b5460	28b5460
